Subject Name,Subject Code,URL,Level,Credit Points,Offering Info
Spanish and Latin American Cinema,SPAN30023,https://handbook.unimelb.edu.au/2024/subjects/span30023,Undergraduate Level 3,12.5 credit points,"Offered Semester 2, 2024"
"Urban Soils, Substrates and Water",ERTH90028,https://handbook.unimelb.edu.au/2024/subjects/erth90028,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
Theatre Practice 2,DRAM20034,https://handbook.unimelb.edu.au/2024/subjects/dram20034,Undergraduate Level 2,25 credit points,"Offered Semester 2, 2024"
BioDesign Innovation,MGMT90231,https://handbook.unimelb.edu.au/2024/subjects/mgmt90231,Graduate coursework,37.5 credit points,"Offered February, 2024"
Research Project A (MMS) Part 2,BMSC90028,https://handbook.unimelb.edu.au/2024/subjects/bmsc90028,Graduate coursework,25 credit points,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024"
Research Paper (Jazz & Improvisation),MUSI40106,https://handbook.unimelb.edu.au/2024/subjects/musi40106,Honours,18.75 credit points,"Offered Semester 2, 2024"
Crime Prevention: Critical Approaches,CRIM90010,https://handbook.unimelb.edu.au/2024/subjects/crim90010,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Applied Analytics Lab,BUSA90522,https://handbook.unimelb.edu.au/2024/subjects/busa90522,Graduate coursework,25 credit points,"Offered January, April, 2024"
Advanced Linguistics Analysis A,ARTS90040,https://handbook.unimelb.edu.au/2024/subjects/arts90040,Graduate coursework,6.25 credit points,"Offered Semester 1, Semester 2, 2024"
Nursing/Junior Doctor - Practical,MEDI90136,https://handbook.unimelb.edu.au/2024/subjects/medi90136,Graduate coursework,6.25 credit points,Not offered in 2024
Landscape Design,HORT90034,https://handbook.unimelb.edu.au/2024/subjects/hort90034,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Population Mental Health,POPH90275,https://handbook.unimelb.edu.au/2024/subjects/poph90275,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
The Print Room,AHIS90004,https://handbook.unimelb.edu.au/2024/subjects/ahis90004,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Advanced Cost Management,ABPL90129,https://handbook.unimelb.edu.au/2024/subjects/abpl90129,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Chemistry Research Project Pt 4,CHEM90035,https://handbook.unimelb.edu.au/2024/subjects/chem90035,Graduate coursework,12.5 credit points,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024"
Diagnostic Radiology Minor Thesis 1,RADI90022,https://handbook.unimelb.edu.au/2024/subjects/radi90022,Graduate coursework,6.25 credit points,"Offered Semester 1, 2024"
Advanced Accounting 1,ACCT90044,https://handbook.unimelb.edu.au/2024/subjects/acct90044,Graduate coursework,12.5 credit points,"Offered Year Long, 2024"
Analysing Ecosystems and Their Values,ENST90044,https://handbook.unimelb.edu.au/2024/subjects/enst90044,Graduate coursework,12.5 credit points,"Offered Semester 1 (Early-Start), 2024"
Bioinformatics Research Project Pt 3,BINF90010,https://handbook.unimelb.edu.au/2024/subjects/binf90010,Graduate coursework,25 credit points,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024"
Management Systems for Construction,CONS90001,https://handbook.unimelb.edu.au/2024/subjects/cons90001,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
Cost Management,ABPL90312,https://handbook.unimelb.edu.au/2024/subjects/abpl90312,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Advances in Crop Monitoring Methods,AGRI90096,https://handbook.unimelb.edu.au/2024/subjects/agri90096,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
French Cinema Research Seminar,FREN40001,https://handbook.unimelb.edu.au/2024/subjects/fren40001,Honours,12.5 credit points,Not offered in 2024
Arabic Studies Thesis Part 2,ARBC40008,https://handbook.unimelb.edu.au/2024/subjects/arbc40008,Honours,25 credit points,"Offered Semester 1, Semester 2, 2024"
Econometrics 2,ECOM90002,https://handbook.unimelb.edu.au/2024/subjects/ecom90002,Graduate coursework,12.5 credit points,"Offered Semester 1, Semester 2, 2024"
Designing Analytics Investigations,POPH90295,https://handbook.unimelb.edu.au/2024/subjects/poph90295,Graduate coursework,12.5 credit points,Not offered in 2024
