Subject Name,Subject Code,Primary Info,Credit Points,Subject Url
Indonesian Literature and Film,INDO10012,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/indo10012
German 6,GERM10007,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/germ10007
Chinese Politics and Society,POLS30011,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/pols30011
Clear Speech and Communication,THTR10019,"Offered Semester 1, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/thtr10019
Interpreting Material Culture,ANCW20028,"Offered Summer Term, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/ancw20028
French 6,FREN30004,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/fren30004
Italian 7,ITAL10009,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/ital10009
Sociology of Culture,SOCI20016,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/soci20016
Agribusiness Marketing & Value Chains,AGRI30040,"Offered July, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/agri30040
Music in Australia,MUSI30269,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/musi30269
"Science, Philosophy and Society",HPSC10002,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/hpsc10002
French 2,FREN10005,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/fren10005
Hitler's Germany and Fascism,HIST30010,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/hist30010
Immigration and Identity,FREN30017,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/fren30017
Russian 5,RUSS30001,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/russ30001
Japanese 8,JAPN10006,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/japn10006
Japanese Through the Media,JAPN20018,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/japn20018
Resource Management Economics,AGRI30043,"Offered February, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/agri30043
Cybercrime and Digital Criminology,CRIM20007,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/crim20007
"On Country, On Campus: Wurundjeri",INDG30003,"Offered Summer Term, Winter Term, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/indg30003
