Subject Name,Subject Code,Primary Info,Credit Points,Subject Url
Environmental Risk Assessment,EVSC30003,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/evsc30003
Physics 2: Advanced,PHYC10002,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/phyc10002
Drugs That Shape Society,UNIB20008,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/unib20008
Time Series Analysis and Forecasting,ECOM30004,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/ecom30004
Medical Microbiology: Virology,MIIM30014,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/miim30014
Positive Communities and Organisations,EDUC20074,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/educ20074
Cities: From Local to Global,ABPL20035,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/abpl20035
Fundamentals of Chemistry,CHEM10007,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/chem10007
Probability,MAST20004,"Offered Semester 1, Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/mast20004
Money and Banking,ECON30005,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/econ30005
Composition Studies,MUSI20122,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/musi20122
Trends & Issues in Agrifood Biotech,BTCH30002,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/btch30002
Global Human Rights Law,LAWS20012,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/laws20012
Indonesian 4,INDO20007,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/indo20007
Introductory Macroeconomics,ECON10003,"Offered Summer Term, Semester 1, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/econ10003
Animal Structure and Function,ZOOL20005,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/zool20005
Physics 1,PHYC10003,"Offered Semester 1, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/phyc10003
Signals and Systems,ELEN30012,"Offered Semester 1, Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/elen30012
Design Studio Beta,ARCH20001,"Offered Semester 1, Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/arch20001
Chinese 4,CHIN20002,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/chin20002
Food Nutrition and Health,NUTR20001,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/nutr20001
Globalisation and the World Economy,ECON20007,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/econ20007
Chinese Music Ensemble 1,MUSI20135,"Offered Summer Term, Semester 1, Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/musi20135
Cost Management,ACCT20001,"Offered Semester 1, Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/acct20001
Industrial Economics,ECON30003,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/econ30003
Managing Strategic Change,MGMT30005,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/mgmt30005
Australia in the Wine World,AGRI10039,"Offered February, July, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/agri10039
Tropical Weather and Climate Extremes,ATOC30003,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/atoc30003
Sustainable Food Systems,AGRI20003,"Offered Winter Term, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/agri20003
Music History 1: 17th & 18th Centuries,MUSI10047,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/musi10047
Chinese 3,CHIN20001,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/chin20001
Animal Physiology and Growth,ANSC20001,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/ansc20001
International Trade Policy,ECON30001,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/econ30001
Topics in Animal Health,ANSC20003,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/ansc20003
Managing Entrepreneurship and Innovation,MGMT30006,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/mgmt30006
"Creativity, Play and the Arts",EDUC10048,"Offered Semester 1, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/educ10048
Accelerated Mathematics 2,MAST10009,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/mast10009
Concepts of Childhood,EDUC20064,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/educ20064
Musics of the World,MUSI10227,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/musi10227
Plant Biodiversity,BOTA20002,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/bota20002
Economics of the Law,ECON30018,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/econ30018
Education and Social Movements,EDUC30074,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/educ30074
The Romantic Piano,MUSI30256,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/musi30256
Trends in Personality& Social Psychology,PSYC30022,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/psyc30022
Cities Past and Future,PLAN10001,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/plan10001
Human Locomotor Systems,ANAT30007,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/anat30007
Ethics in Finance,FNCE30009,"Offered Summer Term, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/fnce30009
Human Rights and Global Justice,UNIB20009,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/unib20009
Applied Microeconometric Modelling,ECOM30003,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/ecom30003
Music as Noise: Making Sound Art,MUSI30246,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/musi30246
Art and Indigenous Voice,AIND10004,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/aind10004
Digital Infrastructure Systems Capstone,GEOM30012,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/geom30012
Engineering Materials and Mechanics,ENGR20003,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/engr20003
Taxation Law II,BLAW30003,"Offered December, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/blaw30003
