Course Code,Major/Minor Name,URL
BH-FA,Design and Production,https://handbook.unimelb.edu.au/2024/components/bh-fa-spec-2/print
BH-FA,Film and Television,https://handbook.unimelb.edu.au/2024/components/bh-fa-spec-3/print
BH-FA,Music Theatre,https://handbook.unimelb.edu.au/2024/components/bh-fa-spec-4/print
BH-FA,Theatre,https://handbook.unimelb.edu.au/2024/components/bh-fa-spec-5/print
BH-FA,Visual Art,https://handbook.unimelb.edu.au/2024/components/bh-fa-spec-6/print
MC-ARCH,200pt Program,https://handbook.unimelb.edu.au/2024/components/mc-arch-entry-1/print
MC-ARCH,300pt Program,https://handbook.unimelb.edu.au/2024/components/mc-arch-entry-2/print
BH-ENVS,Landscape Management,https://handbook.unimelb.edu.au/2024/components/bh-envs-infspc-1/print
BH-ENVS,Environmental Geography,https://handbook.unimelb.edu.au/2024/components/bh-envs-infspc-2/print
MC-TCHECP,Standard Mode,https://handbook.unimelb.edu.au/2024/components/mc-tchecp-stream-1/print
MC-TCHECP,Extended Mode,https://handbook.unimelb.edu.au/2024/components/mc-tchecp-stream-2/print
BH-SCIADV,Animal Health and Disease,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-2/print
BH-SCIADV,Animal Science and Management,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-3/print
BH-SCIADV,Chemical Engineering Systems,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-8/print
BH-SCIADV,Chemistry,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-9/print
BH-SCIADV,Civil Engineering Systems,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-10/print
BH-SCIADV,Climate and Weather,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-11/print
BH-SCIADV,Data Science,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-13/print
BH-SCIADV,Digital Infrastructure Engineering Systems,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-14/print
BH-SCIADV,Ecology and Evolutionary Biology,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-15/print
BH-SCIADV,Ecosystem Science,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-16/print
BH-SCIADV,Environmental Engineering Systems,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-18/print
BH-SCIADV,Environmental Science,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-19/print
BH-SCIADV,Food Science,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-20/print
BH-SCIADV,Geography,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-22/print
BH-SCIADV,Geology,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-23/print
BH-SCIADV,Immunology,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-26/print
BH-SCIADV,Mathematics and Statistics,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-30/print
BH-SCIADV,Infection and Immunity,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-27/print
BH-SCIADV,Mechanical Engineering Systems,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-31/print
BH-SCIADV,Mechatronics Engineering Systems,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-32/print
BH-SCIADV,Microbiology,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-33/print
BH-SCIADV,Neuroscience,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-34/print
BH-SCIADV,Pathology,https://handbook.unimelb.edu.au/2024/components/bh-sciadv-major-35/print
